,sentence
64,Charles Dickens used his desperate experience as a child laborer in Victorian England to write David Copperfield
65,"Should you create a protagonist based directly on yourself? As the writer, you’re too close to your own complicated makeup"
66,It can thus be easier and more effective to use a situation or incident from your life but make it happen to a character who is not you
67,"In fact, that’s what authors largely have done"
68,"You can still, of course, incorporate aspects of yourself: your love of Beethoven, your quick temper, your soccer injuries"
69,"But by applying your own experience to a different protagonist, you can take advantage of your insider knowledge of the situation, and yet gain an objectivity and control that the original intense situation, by definition, did not have. 10번 문단"
70,The creativity that children possess needs to be cultivated throughout their development
71,Research suggests that overstructuring the child’s environment may actually limit creative and academic development
72,This is a central problem with much of science instruction
73,The exercises or activities are devised to eliminate different options and to focus on predetermined results
74,"The answers are structured to fit the course assessments, and the wonder of science is lost along with cognitive intrigue"
75,We define cognitive intrigue as the wonder that stimulates and intrinsically motivates an individual to voluntarily engage in an activity
76,The loss of cognitive intrigue may be initiated by the sole use of play items with predetermined conclusions and reinforced by rote instruction in school. 11번 문단
77,Temporal resolution is particularly interesting in the context of satellite remote sensing
78,"The temporal density of remotely sensed imagery is large, impressive, and growing"
79,Satellites are collecting a great deal of imagery as you read this sentence
80,"However, most applications in geography and environmental studies do not require extremely fine-grained temporal resolution"
81,"Meteorologists may require visible, infrared, and radar information at sub-hourly temporal resolution; urban planners might require imagery at monthly or annual resolution; and transportation planners may not need any time series information at all for some applications"
82,Sometimes researchers have to search archives of aerial photographs to get information from that past that pre-date the collection of satellite imagery. 12번 문단
83,"Grief is unpleasant. Would one not then be better off without it altogether? Why accept it even when the loss is real? Perhaps we should say of it what Spinoza said of regret: that whoever feels it is “twice unhappy or twice helpless.” Laurence Thomas has suggested that the utility of “negative sentiments” (emotions like grief, guilt, resentment, and anger, which there is seemingly a reason to believe we might be better off without) lies in their providing a kind of guarantee of authenticity for such dispositional sentiments as love and respect"
84,No occurrent feelings of love and respect need to be present throughout the period in which it is true that one loves or respects
85,"At such times, negative emotions like grief offer a kind of testimonial to the authenticity of love or respect. 13번 문단"
86,"This is a two-way process; the building provides the physical environment and setting for a particular social ritual such as traveling by train or going to the theater, as well as the symbolic setting"
87,The meaning of buildings evolves and becomes established by experience and we in turn read our experience into buildings
88,"Buildings arouse an empathetic reaction in us through these projected experiences, and the strength of these reactions is determined by our culture, our beliefs, and our expectations"
89,"They tell stories, for their form and spatial organization give us hints about how they should be used"
90,Their physical layout encourages some uses and inhibits others; we do not go backstage in a theater unless especially invited
91,Inside a law court the precise location of those involved in the legal process is an integral part of the design and an essential part of ensuring that the law is upheld. 14번 문단
92,"The impacts of tourism on the environment are evident to scientists, but not all residents attribute environmental damage to tourism"
93,"Residents commonly have positive views on the economic and some sociocultural influences of tourism on quality of life, but their reactions to environmental impacts are mixed"
94,"Some residents feel tourism provides more parks and recreation areas, improves the quality of the roads and public facilities, and does not contribute to ecological decline"
95,"Many do not blame tourism for traffic problems, overcrowded outdoor recreation, or the disturbance of peace and tranquility of parks"
96,"Alternatively, some residents express concern that tourists overcrowd the local fishing, hunting, and other recreation areas or may cause traffic and pedestrian congestion"
97,"Some studies suggest that variations in residents’ feelings about tourism’s relationship to environmental damage are related to the type of tourism, the extent to which residents feel the natural environment needs to be protected, and the distance residents live from the tourist attractions. 15번 문단"
98,Duration refers to the time that events last
99,"If we think of tempo as the speed of events, then duration is the speed of the clock itself"
100,"For the physicist, the duration of a “second” is precise and unambiguous: it is equal to 9,192,631,770 cycles of the frequency associated with the transition between two energy levels of the isotope cesium-133"
101,"In the realm of psychological experience, however, quantifying units of time is a considerably clumsier operation"
102,"When people are removed from the cues of “real” time ─ be it the sun, bodily fatigue, or timepieces themselves ─ it doesn’t take long before their time sense breaks down"
103,"Theoretically, a person who mentally stretches the duration of time should experience a slower tempo"
104,"Imagine, for example, that baseballs are pitched to two different batters"
105,"The balls are thrown every 5 seconds for 50 seconds, so a total of 10 balls are thrown"
106,We now ask both batters how much time has passed
107,Let’s say that batter number one (who loves hitting) feels the duration to be 40 seconds
108,Batter number two (bored by baseball) believes it to be 60 seconds
109,"Psychologically, then, the first person has experienced baseballs approaching every four seconds while the second sees it as every six seconds. 16번 문단"
110,"When two cultures come into contact, they do not exchange every cultural item"
111,"If that were the case, there would be no cultural differences in the world today"
112,"Instead, only a small number of cultural elements ever spread from one culture to another"
113,Which cultural item is accepted depends largely on the item’s use and compatibility with already existing cultural traits
114,"For example, it is not likely that men’s hair dyes designed to “get out the gray” will spread into parts of rural Africa where a person’s status is elevated with advancing years"
115,"For example, most people in the United States using US customary units (e.g., inch, foot, yard, mile, etc.) have resisted adopting the metric system even though making such a change would enable US citizens to interface with the rest of the world more efficiently. 17번 문단"
116,Some distinctions between good and bad are hardwired into our biology
117,Infants enter the world ready to respond to pain as bad and to sweet (up to a point) as good
118,"In many situations, however, the boundary between good and bad is a reference point that changes over time and depends on the immediate circumstances"
119,"Imagine that you are out in the country on a cold night, inadequately dressed for the pouring rain, your clothes soaked"
120,A stinging cold wind completes your misery
121,"As you wander around, you find a large rock that provides some shelter from the fury of the elements"
122,"The pleasant relief will not last very long, of course, and you will soon be shivering behind the rock again, driven by your renewed suffering to seek better shelter. 18번 문단"
123,Research and development for seed improvement has long been a public domain and government activity for the common good
124,"However, private capital started to flow into seed production and took it over as a sector of the economy, creating an artificial split between the two aspects of the seed’s nature: its role as means of production and its role as product"
125,This process gained pace after the invention of hybrid breeding of maize in the late 1920s
126,Today most maize seed cultivated are hybrids
127,"The companies that sell them are able to keep the distinct parent lines from farmers, and the grain that they produce is not suited for seed saving and replanting"
128,In the 1990s the extension of patent laws as the only intellectual property rights tool into the area of seed varieties started to create a growing market for private seed companies. 19번 문단
129,"Long before Walt Whitman wrote Leaves of Grass, poets had addressed themselves to fame"
130,"Horace, Petrarch, Shakespeare, Milton, and Keats all hoped that poetic greatness would grant them a kind of earthly immortality"
131,Whitman held a similar faith that for centuries the world would value his poems
132,"But to this ancient desire to live forever on the page, he added a new sense of fame"
133,Readers would not simply attend to the poet’s work; they would be attracted to the greatness of his personality
134,"They would see in his poems a vibrant cultural performance, an individual springing from the book with tremendous charisma and appeal"
135,"Out of the political rallies and electoral parades that marked Jacksonian America, Whitman defined poetic fame in relation to the crowd"
136,Other poets might look for their inspiration from the goddess of poetry
137,"In the instability of American democracy, fame would be dependent on celebrity, on the degree to which the people rejoiced in the poet and his work. 20번 문단"
138,Performance must be judged in terms of what is under the control of the individuals being evaluated rather than those influences on performance that are beyond their control
139,"There can be broad, influential factors, sometimes of an economic nature, that hold down the performance of everyone being judged"
140,"One example is in sales. If there is a general downturn in the economy and products or services are not being purchased with the same frequency as in the previous year, sales could be down, for example, by an average of 15%"
141,This 15% (actually －15%) figure would then represent “average” performance
142,Perhaps the best salesperson in the year had only a 3% drop in sales over the previous year
143,"Thus, “good” performance in this situation is a smaller loss compared to some average or norm group. 21번 문단"
144,We might describe science that has no known practical value as basic science or basic research
145,"Our exploration of worlds such as Jupiter would be called basic science, and it is easy to argue that basic science is not worth the effort and expense because it has no known practical use"
146,"Of course, the problem is that we have no way of knowing what knowledge will be of use until we acquire that knowledge"
147,"In the middle of the 19th century, Queen Victoria is supposed to have asked physicist Michael Faraday what good his experiments with electricity and magnetism were"
148,"He answered, “Madam, what good is a baby?” Of course, Faraday’s experiments were the beginning of the electronic age"
149,"Many of the practical uses of scientific knowledge that fill our world ― transistors, vaccines, plastics ― began as basic research"
150,Basic scientific research provides the raw materials that technology and engineering use to solve problems
151,Basic scientific research has yet one more important use that is so valuable it seems an insult to refer to it as merely functional
152,"Science is the study of nature, and as we learn more about how nature works, we learn more about what our existence in this universe means for us"
153,"Science tells us where we are and what we are, and that knowledge is beyond value. 22번 문단"
154,"The concept of humans doing multiple things at a time has been studied by psychologists since the 1920s, but the term “multitasking” didn’t exist until the 1960s"
155,"It was used to describe computers, not people"
156,"Back then, ten megahertz was so fast that a new word was needed to describe a computer’s ability to quickly perform many tasks"
157,"In retrospect, they probably made a poor choice, for the expression “multitasking” is inherently deceptive"
158,"Multitasking is about multiple tasks alternately sharing one resource (the CPU), but in time the context was flipped and it became interpreted to mean multiple tasks being done simultaneously by one resource (a person)"
159,"It was a clever turn of phrase that’s misleading, for even computers can process only one piece of code at a time"
160,"When they “multitask,” they switch back and forth, alternating their attention until both tasks are done. 23번 문단"
161,My friend was disappointed that scientific progress has not cured the world’s ills by abolishing wars and starvation; that gross human inequality is still widespread; that happiness is not universal
162,My friend made a common mistake ― a basic misunderstanding in the nature of knowledge
163,Knowledge is amoral ― not immoral but morality neutral
164,"It can be used for any purpose, but many people assume it will be used to further their favorite hopes for society ― and this is the fundamental flaw"
165,Knowledge of the world is one thing; its uses create a separate issue
166,To argue that knowledge is not progressing because of the African or Middle Eastern conflicts misses the point
167,There is nothing inherent in knowledge that dictates any specific social or moral application. 24번 문단
168,"According to a renowned French scholar, the growth in the size and complexity of human populations was the driving force in the evolution of science"
169,"Early, small communities had to concentrate all their physical and mental effort on survival; their thoughts were focused on food and religion"
170,"As communities became larger, some people had time to reflect and debate"
171,"They found that they could understand and predict events better if they reduced passion and prejudice, replacing these with observation and inference"
172,"But while a large population may have been necessary, in itself it was not sufficient for science to germinate"
173,"Some empires were big, but the rigid social control required to hold an empire together was not beneficial to science, just as it was not beneficial to reason"
174,The rise in commerce and the decline of authoritarian religion allowed science to follow reason in seventeenth-century Europe. 25번 문단
175,New media can be defined by four characteristics simultaneously: they are media at the turn of the 20th and 21st centuries which are both integrated and interactive and use digital code and hypertext as technical means
176,"It follows that their most common alternative names are multimedia, interactive media and digital media"
177,"By using this definition, it is easy to identify media as old or new"
178,"The plain old telephone was interactive, but not integrated as it only transmitted speech and sounds and it did not work with digital code"
179,"In contrast, the new medium of interactive television adds interactivity and digital code. 26번 문단"
180,Plato and Tolstoy both assume that it can be firmly established that certain works have certain effects
181,Plato is sure that the representation of cowardly people makes us cowardly; the only way to prevent this effect is to suppress such representations
182,Tolstoy is confident that the artist who sincerely expresses feelings of pride will pass those feelings on to us; we can no more escape than we could escape an infectious disease
183,"In fact, however, the effects of art are neither so certain nor so direct"
184,People vary a great deal both in the intensity of their response to art and in the form which that response takes
185,Some people may indulge fantasies of violence by watching a film instead of working out those fantasies in real life
186,Others may be disgusted by even glamorous representations of violence
187,"Still others may be left unmoved, neither attracted nor disgusted. 27번 문단"
188,Increased size affects group life in a number of ways
189,There is evidence that larger groups (five or six members) are more productive than smaller groups (two or three members)
190,"Members of larger groups tend to offer more suggestions than members of smaller groups, and although they seem to reach less agreement, they also show less tension"
191,These differences may reflect the greater need of larger groups to solve organizational problems
192,"Members may realize that their behavior must become more goal-directed, since it is unlikely that they can coordinate their actions without making a special effort to do so"
193,Larger groups also put more pressure on their members to conform
194,"In such groups, it is harder for everyone to take part equally in discussions or to have the same amount of influence on decisions"
195,There is evidence that groups with an even number of members differ from groups with an odd number of members
196,The former disagree more than the latter and suffer more deadlocks as a result
197,Groups with an even number of members may split into halves
198,This is impossible in groups with an odd number of members ― one side always has a numerical advantage
199,"According to some researchers, the number five has special significance"
200,"Moreover, they are not plagued by the fragility and tensions found in groups of two or three"
201,"Groups of five rate high in member satisfaction; because of the odd number of members, deadlocks are unlikely when disagreements occur. 28번 문단"
202,Sometimes all the outcomes customers are trying to achieve in one area have a negative effect on other outcomes
203,"This is very common when companies are busy listening to the ‘voice of the customer.’ Traveling salespeople, for example, may say they want a smaller cell phone, but they may not have thought about how hard that tiny phone will be to use"
204,Carpenters may request a lightweight circular saw without thinking about the fact that it will no longer have the power to get through some of the more difficult jobs
205,"In this situation, customers request new features but reject the resulting product when they realize the ramifications of their suggestions ― the added feature turns out to be worthless because of the problems it causes. 29번 문단"
206,The success of human beings depends crucially on numbers and connections
207,A few hundred people cannot sustain a sophisticated technology
208,"Recall that Australia was colonized 45,000 years ago by pioneers spreading east from Africa along the shore of Asia"
209,The vanguard of such a migration must have been small in number and must have traveled comparatively light
210,The chances are they had only a sample of the technology available to their relatives back at the Red Sea crossing
211,"This may explain why Australian aboriginal technology, although it developed and elaborated steadily over the ensuing millennia, was lacking in so many features of the Old World ― elastic weapons, for example, such as bows and catapults, were unknown, as were ovens"
212,It was that they had arrived with only a subset of technologies and did not have a dense enough population and therefore a large enough collective brain to develop them much further. 30번 문단
213,"Policymaking is seen to be more objective when experts play a large role in the creation and implementation of the policy, and when utilitarian rationality is the dominant value that guides policy"
214,"Through the use of the scientific method to determine the facts of any given policy situation, the power of social constructions is supposedly diminished, and solutions to social problems are discovered in an objective way"
215,This process creates an illusion of neutrality and implies a transcendence of the pitfalls and inequalities commonly associated with policymaking
216,"From this perspective, scientists and professionals emerge as the appropriate experts to be consulted in policymaking, while local citizen input and knowledge is often viewed as unnecessary"
217,Scientific and professional policy design does not necessarily escape the pitfalls of degenerative politics
218,Scientific and professional expertise often relies on a particular type of knowledge that is limited to utility and rationality considerations
219,This approach to policy typically does not consider values and cultural factors that cannot be measured empirically
220,Scientifically designed policies can serve interests that run counter to the public interest. 31번 문단
221,"Like many errors and biases that seem irrational on the surface, auditory looming turns out, on closer examination, to be pretty smart"
222,Animals like rhesus monkeys have evolved the same bias
223,"This intentional error functions as an advance warning system, manned by the self-protection subself, providing individuals with a margin of safety when they are confronted with potentially dangerous approaching objects"
224,"If you spot a rhinoceros or hear an avalanche speeding toward you, auditory looming will motivate you to jump out of the way now rather than wait until the last second"
225,"Although this kind of bias might inhibit economically rational judgment in laboratory tasks, it leads us to behave in a deeply rational manner in the real world"
226,Being accurate is not always smart. 32번 문단
227,"Mathematics will attract those it can attract, but it will do nothing to overcome resistance to science"
228,Science is universal in principle but in practice it speaks to very few
229,"Mathematics may be considered a communication skill of the highest type, frictionless so to speak; and at the opposite pole from mathematics, the fruits of science show the practical benefits of science without the use of words"
230,But those fruits are ambivalent
231,"Science as science does not speak; ideally, all scientific concepts are mathematized when scientists communicate with one another, and when science displays its products to non-scientists it need not, and indeed is not able to, resort to salesmanship"
232,"When science speaks to others, it is no longer science, and the scientist becomes or has to hire a publicist who dilutes the exactness of mathematics. 33번 문단"
233,F. Scott Fitzgerald thought that the test of first-rate intelligence was the ability to hold two opposed ideas in mind at the same time and still function
234,Confirmation bias is a term for the way the mind systematically avoids confronting contradiction
235,It does this by overvaluing evidence that confirms what we already think or feel and undervaluing or simply disregarding evidence that refutes it
236,Testimony from members of the Crow tribe about the destruction of their culture provides an extreme and tragic example of this
237,"A man named Plenty Coups reported that “when the buffalo went away, the hearts of my people fell to the ground and they could not lift them up again"
238,After this nothing happened.” He was not alone in describing the depth of despair as the end of history
239,"“Nothing happened after that,” another Crow warrior said"
240,Oil and gas resources are not likely to be impacted by climate change because they result from a process that takes millions of years and are geologically trapped
241,"Thus, while climate change may not impact these resources, oil and gas reserves and known or potential resources could be affected by new climate conditions, since climate change may affect access to these resources"
242,"In Siberia, for instance, the actual exploration challenge is the time required to access, produce, and deliver oil under extreme environmental conditions, where temperatures in January range from —20℃ to —35℃"
243,"Warming may ease extreme environmental conditions, expanding the production frontier. 35번 문단"
244,Low-balling describes the technique where two individuals arrive at an agreement and then one increases the cost to be incurred by the other
245,"For example, after the consumer has agreed to purchase a car for $8,000, the salesperson begins to add on $100 for tax and $200 for tires"
246,These additional costs might be thought of as a metaphorical ‘low ball’ that the salesperson throws the consumer
247,One explanation for the effectiveness of low-balling is in terms of self-perception theory
248,"When the consumer agrees to purchase the product under the original terms, that behavior might be used by the consumer to infer his sincere interest in the product"
249,This inferred sincere interest in the product may enable him to endure the increased cost
250,An alternative explanation is in terms of impression management theory
251,"If the consumer were to withdraw from the deal after the ‘slight’ change in the terms of agreement, he might foster the rather undesirable impression of being an irresponsible consumer unaware of these necessary charges. 36번 문단"
252,"In essence, these individuals are entitled to look wherever they want"
253,"However, subordinates are more restricted in where they can look and when"
254,"Humility dictates that in the presence of royalty, as in church, heads are bowed"
255,"As a general rule, dominants tend to ignore subordinates visually while subordinates tend to gaze at dominant individuals at a distance"
256,"In other words, higher-status individuals can be indifferent while lower-status persons are required to be attentive with their gaze"
257,"The king is free to look at anyone he wants, but all subjects face the king, even as they back out of a room. 37번 문단"
258,The importance of science has led people to think that ‘objectivity’ is the best way to see the world ― to see the facts without any feelings
259,"However, from a human point of view, objectivity is just another attitude"
260,It is an interpretation that deliberately ignores our feelings
261,"It is very useful to ensure that scientific measurements are taken accurately and so on, but as far as life is concerned, it is a bit like turning the color off on your TV so that you see everything in black and white and then saying that is more truthful"
262,"It is not more truthful; When you turn down the feelings, you also turn down the possibility of enjoyment. 38번 문단"
263,Sometimes all the outcomes customers are trying to achieve in one area have a negative effect on other outcomes
264,"This is very common when companies are busy listening to the ‘voice of the customer.’ Traveling salespeople, for example, may say they want a smaller cell phone, but they may not have thought about how hard that tiny phone will be to use"
265,Carpenters may request a lightweight circular saw without thinking about the fact that it will no longer have the power to get through some of the more difficult jobs
266,"In this situation, customers request new features but reject the resulting product when they realize the ramifications of their suggestions ― the added feature turns out to be worthless because of the problems it causes. 39번 문단"
267,Self-monitoring refers to how much people try to control the way they present themselves to others
268,Those who have high self-monitoring want their behavior to be socially acceptable
269,They adjust themselves to any social signal that indicates appropriate or inappropriate behavior
270,They are also good at managing what others think about them
271,They are not too concerned about behaving the right way in a specific context
272,"For example, if they are in a meeting with the president of an organization, they may act bored"
273,They are not deeply concerned about how others see them. 40번 문단
274,It is well known that some baseball parks are better for hitting home runs than others
275,It is not just the size of the park that matters
276,"Other park conditions such as wind and humidity also affect whether a ball sails over the fences, and players know this"
277,"So what happens when a player is moved to a team whose baseball park has better conditions for home runs than his current one ― say, 28 percent better? One analysis found that the player hit 60 percent more home runs"
278,Why? The answer lies in how achievable you think the goal is
279,"If you think you are likely to hit more home runs, you are more likely to swing for the fences"
280,"But if you think your chance of hitting a home run is smaller, your brain will send you signals to just try for a single to get on base"
281,The baseball research shows us that what matters is not the actual distance to the fence but what our brains recognize that distance to be
282,Consider your work and your current life
283,Do the fences seem too far away to hit a home run? Simply adjust the fences so that it seems easier. 41번 문단
284,To say that we need to curb anger and our negative thoughts and emotions does not mean that we should deny our feelings
285,There is an important distinction to be made between denial and restraint
286,The latter constitutes a deliberate and voluntarily adopted discipline based on an appreciation of the benefits of doing so
287,"This is very different from the case of someone who suppresses emotions such as anger out of a feeling that they need to present a facade of self-control, or out of fear of what others may think"
288,Such behaviour is like closing a wound which is still infected
289,We are not talking about rule-following
290,The trouble here is that at some future point they may find they cannot contain these feelings any longer. 42번 문단
291,"Have you ever heard anyone say of a dog, “Well, he’s very successful and lives in a beautiful house, but he’s not very happy”? One reason most dogs are much happier than most people is that dogs aren’t affected by external circumstances the way we are"
292,"I notice that even when it’s pouring rain outside, my dogs, Blue and Celeste, are still excited to go for a walk"
293,"As soon as I open the front door to look outside, they’re beside me in a flash, standing expectantly, ready for an adventure"
294,"I usually wait for a break in the downpour, and then we all dash out together"
295,"While I’m carefully picking my way around the wet spots, the dogs are joyfully splashing right through them"
296,They aren’t afraid to get their paws dirty. 43번 문단
297,"In Belding’s ground squirrels, males leave home and females mature in their natal area"
298,"This male-biased dispersal creates an imbalance in the way males and females are related to those individuals around them ― females find themselves surrounded by relatives, while males are generally in areas with complete strangers"
299,"This asymmetry translates into females who warn close kin by emitting alarm calls, while males generally do not emit calls since their dispersal from their natal areas means their blood kin typically do not benefit from such a warning. 44번 문단"
300,"By likening the eye to a camera, elementary biology textbooks help to produce a misleading impression of what perception entails"
301,Only in terms of the physics of image formation do the eye and camera have anything in common
302,"Both eye and camera have a lens that focuses light rays from the outside world into an image, and both have a means of adjusting the focus and brightness of that image"
303,"Both eye and camera have a light-sensitive layer onto which the image is cast (the retina and film, respectively)"
304,"However, image formation is only the first step towards seeing. 45번 문단"
305,"Recent evidence suggests that the common ancestor of Neanderthals and modern people, living about 400,000 years ago, may have already been using pretty sophisticated language"
306,"If language is based on genes and is the key to cultural evolution, and Neanderthals had language, then why did the Neanderthal toolkit show so little cultural change? Moreover, genes would undoubtedly have changed during the human revolution after 200,000 years ago, but more in response to new habits than as causes of them"
307,"At an earlier date, cooking selected mutations for smaller guts and mouths, rather than vice versa"
308,"At a later date, milk drinking selected for mutations for retaining lactose digestion into adulthood in people of western European and East African descent"
309,The appeal to a genetic change driving evolution gets gene-culture co-evolution backwards: it is a top-down explanation for a bottom-up process. 46번 문단
310,"To describe what happens to common resources as a result of human greed, Garrett Hardin used the example of an area of pasture on which all the cattle-owners are permitted to graze their animals free of charge"
311,The advantage is that the cattle-owner receives the whole of the profit from the sale of the additional animal
312,The disadvantage is that the extra grazing contributes to the deterioration of the pasture
313,"However, the disadvantage is shared among all the cattle-owners using the pasture, so the individual owner suffers only a fraction of the disadvantage"
314,"Thus, it is inevitable that more and more animals will be brought onto the pasture until overgrazing totally destroys the pasture. 47번 문단"
315,"In physics, scientists invent models, or theories, to describe and predict the data we observe about the universe"
316,Newton’s theory of gravity is one example; Einstein’s theory of gravity is another
317,"Those theories, though they describe the same phenomenon, constitute very different versions of reality"
318,"Either theory could be employed to describe, with great accuracy, the falling of an apple, but Newton’s would be much easier to use. 48번 문단"
319,"“Why, in country after country that mandated seat belts, was it impossible to see the promised reduction in road accident fatalities?” John Adams, professor of geography at University College London, wrote in one of his many essays on risk"
